time_s,P_ref,P_cmd,P_fw,P_mech,P_loss,P_loss_base,P_loss_standby,P_loss_bearing,P_loss_windage,P_loss_motor,P_loss_converter,P_loss_conversion,P_loss_total,omega,rpm,soc,energy_kwh,usable_energy_kwh,torque,dc_bus_voltage_v,charge_enabled,discharge_enabled,limit_reason_code,rated_limit_w,torque_limit_w,motor_current_limit_w,converter_current_limit_w,hardware_limit_w,soc_discharge_limit_w,soc_charge_limit_w,discharge_limit_w,charge_limit_w
0,1863.1684,300,28.548775,-31.310347,88.87,88.87,50,16.9,21.97,1.8786208,0.88295179,2.7615726,91.631573,1299.9963,12414.05,0.46180222,0.58680222,0.46180222,0.024084951,400,1,1,7,5000,11050,20800,16000,5000,5000,5000,5000,5000
0.1,1873.8054,600,82.929549,-90.951468,88.869716,88.869716,50,16.899904,21.969813,5.4570881,2.5648314,8.0219195,96.891636,1299.9908,12413.997,0.46179722,0.58679722,0.46179722,0.069963165,400,1,1,7,5000,11049.969,20799.941,16000,5000,5000,5000,5000,5000
0.2,1884.408,900,160.68408,-176.22733,88.869292,88.869292,50,16.89976,21.969532,10.57364,4.9696108,15.543251,104.41254,1299.9826,12413.92,0.46178986,0.58678986,0.46178986,0.1355613,400,1,1,7,5000,11049.922,20799.852,16000,5000,5000,5000,5000,5000
0.3,1894.9622,1200,259.58807,-284.69847,88.868666,88.868666,50,16.899548,21.969118,17.081908,8.028497,25.110405,113.97907,1299.9711,12413.81,0.46177948,0.58677948,0.46177948,0.21900369,400,1,1,7,5000,11049.852,20799.722,16000,5000,5000,5000,5000,5000
0.4,1905.4539,1500,377.62887,-414.15757,88.867785,88.867785,50,16.899249,21.968536,24.849454,11.679243,36.528698,125.39648,1299.9556,12413.662,0.46176551,0.58676551,0.46176551,0.31859362,400,1,1,7,5000,11049.755,20799.538,16000,5000,5000,5000,5000,5000
0.5,1915.8692,1800,512.98538,-562.60735,88.866598,88.866598,50,16.898847,21.967751,33.756441,15.865527,49.621968,138.48857,1299.9356,12413.471,0.46174741,0.58674741,0.46174741,0.43279633,400,1,1,7,5000,11049.623,20799.29,16000,5000,5000,5000,5000,5000
0.6,1926.1942,1926.1942,647.46998,-710.10087,88.86506,88.86506,50,16.898325,21.966735,42.606052,20.024845,62.630897,151.49596,1299.911,12413.236,0.46172522,0.58672522,0.46172522,0.54626884,400,1,1,8,5000,11049.453,20798.969,16000,5000,5000,5000,5000,5000
0.7,1936.4151,1936.4151,770.12932,-844.62527,88.863175,88.863175,50,16.897686,21.965488,50.677516,23.818433,74.495949,163.35912,1299.8823,12412.961,0.46169929,0.58669929,0.46169929,0.64977058,400,1,1,8,5000,11049.244,20798.576,16000,5000,5000,5000,5000,5000
0.8,1946.5182,1946.5182,882.07752,-967.40242,88.860972,88.860972,50,16.89694,21.964032,58.044145,27.280748,85.324893,174.18587,1299.8498,12412.651,0.46166995,0.58666995,0.46166995,0.74424171,400,1,1,8,5000,11048.999,20798.117,16000,5000,5000,5000,5000,5000
0.9,1956.49,1956.49,984.32139,-1079.5365,88.858479,88.858479,50,16.896094,21.962385,64.772191,30.44293,95.21512,184.0736,1299.8138,12412.308,0.46163749,0.58663749,0.46163749,0.83053164,400,1,1,8,5000,11048.723,20797.596,16000,5000,5000,5000,5000,5000
1,1966.317,1966.317,1077.7706,-1182.0253,88.855722,88.855722,50,16.89516,21.960562,70.921516,33.333112,104.25463,193.11035,1299.7747,12411.934,0.46160219,0.58660219,0.46160219,0.9094078,400,1,1,8,5000,11048.418,20797.021,16000,5000,5000,5000,5000,5000
1.1,1975.986,1975.986,1163.2471,-1275.77,88.852723,88.852723,50,16.894143,21.95858,76.546203,35.976715,112.52292,201.37564,1299.7327,12411.533,0.46156428,0.58656428,0.46156428,0.98156338,400,1,1,8,5000,11048.085,20796.395,16000,5000,5000,5000,5000,5000
1.2,1985.4837,1985.4837,1241.4933,-1361.5851,88.849503,88.849503,50,16.893051,21.956452,81.695105,38.396699,120.0918,208.94131,1299.6881,12411.107,0.46152399,0.58652399,0.46152399,1.0476245,400,1,1,8,5000,11047.728,20795.723,16000,5000,5000,5000,5000,5000
