time_s,P_ref,P_cmd,P_fw,P_mech,P_loss,P_loss_base,P_loss_standby,P_loss_bearing,P_loss_windage,P_loss_motor,P_loss_converter,P_loss_conversion,P_loss_total,omega,rpm,soc,energy_kwh,usable_energy_kwh,torque,dc_bus_voltage_v,charge_enabled,discharge_enabled,limit_reason_code,rated_limit_w,torque_limit_w,motor_current_limit_w,converter_current_limit_w,hardware_limit_w,soc_discharge_limit_w,soc_charge_limit_w,discharge_limit_w,charge_limit_w
0,573.88487,300,28.548775,-31.310347,88.87,88.87,50,16.9,21.97,1.8786208,0.88295179,2.7615726,91.631573,1299.9963,12414.05,0.46180222,0.58680222,0.46180222,0.024084951,400,1,1,7,5000,11050,20800,16000,5000,5000,5000,5000,5000
0.1,600.82415,600,82.929549,-90.951468,88.869716,88.869716,50,16.899904,21.969813,5.4570881,2.5648314,8.0219195,96.891636,1299.9908,12413.997,0.46179722,0.58679722,0.46179722,0.069963165,400,1,1,7,5000,11049.969,20799.941,16000,5000,5000,5000,5000,5000
0.2,627.68038,627.68038,134.76944,-147.80593,88.869292,88.869292,50,16.89976,21.969532,8.8683556,4.1681271,13.036483,101.90577,1299.9835,12413.928,0.46179065,0.58679065,0.46179065,0.11369831,400,1,1,8,5000,11049.922,20799.852,16000,5000,5000,5000,5000,5000
0.3,654.44545,654.44545,184.22315,-202.04338,88.868733,88.868733,50,16.899571,21.969163,12.122603,5.6976233,17.820226,106.68896,1299.9745,12413.842,0.46178257,0.58678257,0.46178257,0.15542103,400,1,1,8,5000,11049.86,20799.736,16000,5000,5000,5000,5000,5000
0.4,681.11124,681.11124,231.50831,-253.90251,88.868047,88.868047,50,16.899338,21.968709,15.234151,7.1600508,22.394201,111.26225,1299.964,12413.742,0.46177305,0.58677305,0.46177305,0.19531503,400,1,1,8,5000,11049.784,20799.593,16000,5000,5000,5000,5000,5000
0.5,707.66968,707.66968,276.82105,-303.59844,88.867238,88.867238,50,16.899064,21.968174,18.215906,8.5614759,26.777382,115.64462,1299.9519,12413.626,0.46176214,0.58676214,0.46176214,0.2335459,400,1,1,8,5000,11049.694,20799.424,16000,5000,5000,5000,5000,5000
0.6,734.11273,734.11273,320.33811,-351.32497,88.866312,88.866312,50,16.89875,21.967562,21.079498,9.9073642,30.986863,119.85317,1299.9384,12413.497,0.46174992,0.58674992,0.46174992,0.27026279,400,1,1,8,5000,11049.591,20799.231,16000,5000,5000,5000,5000,5000
0.7,760.43237,760.43237,362.21862,-397.25665,88.865273,88.865273,50,16.898398,21.966875,23.835399,11.202638,35.038037,123.90331,1299.9234,12413.354,0.46173641,0.58673641,0.46173641,0.30560005,400,1,1,8,5000,11049.476,20799.014,16000,5000,5000,5000,5000,5000
0.8,786.62064,786.62064,402.60581,-441.55057,88.864126,88.864126,50,16.898009,21.966117,26.493034,12.451726,38.94476,127.80889,1299.9071,12413.198,0.46172168,0.58672168,0.46172168,0.33967856,400,1,1,8,5000,11049.349,20798.775,16000,5000,5000,5000,5000,5000
0.9,812.66962,812.66962,441.62854,-484.34804,88.862874,88.862874,50,16.897584,21.96529,29.060882,13.658615,42.719497,131.58237,1299.8894,12413.03,0.46170576,0.58670576,0.46170576,0.3726071,400,1,1,8,5000,11049.21,20798.513,16000,5000,5000,5000,5000,5000
1,838.57147,838.57147,479.40265,-525.77611,88.861521,88.861521,50,16.897126,21.964396,31.546566,14.826886,46.373453,135.23497,1299.8705,12412.849,0.46168868,0.58668868,0.46168868,0.40448344,400,1,1,8,5000,11049.06,20798.231,16000,5000,5000,5000,5000,5000
1.1,864.31838,864.31838,516.03223,-565.94892,88.860071,88.860071,50,16.896634,21.963437,33.956935,15.95976,49.916695,138.77677,1299.8504,12412.657,0.46167049,0.58667049,0.46167049,0.43539543,400,1,1,8,5000,11048.9,20797.929,16000,5000,5000,5000,5000,5000
1.2,889.90263,889.90263,551.6107,-604.96896,88.858526,88.858526,50,16.89611,21.962415,36.298138,17.060125,53.358263,142.21679,1299.829,12412.453,0.46165122,0.58665122,0.46165122,0.46542195,400,1,1,8,5000,11048.728,20797.606,16000,5000,5000,5000,5000,5000
1.3,915.31657,915.31657,586.22189,-642.92815,88.856888,88.856888,50,16.895555,21.961333,38.575689,18.130574,56.706263,145.56315,1299.8065,12412.238,0.46163089,0.58663089,0.46163089,0.49463374,400,1,1,8,5000,11048.547,20797.265,16000,5000,5000,5000,5000,5000
1.4,940.5526,940.5526,619.94092,-679.90888,88.855161,88.855161,50,16.89497,21.960192,40.794533,19.17343,59.967963,148.82312,1299.7829,12412.012,0.46160954,0.58660954,0.46160954,0.5230942,400,1,1,8,5000,11048.355,20796.904,16000,5000,5000,5000,5000,5000
1.5,965.60325,965.60325,652.83504,-715.9849,88.853347,88.853347,50,16.894355,21.958993,42.959094,20.190774,63.149869,152.00322,1299.7581,12411.775,0.46158718,0.58658718,0.46158718,0.55086013,400,1,1,8,5000,11048.154,20796.526,16000,5000,5000,5000,5000,5000
1.6,990.4611,990.4611,684.9644,-751.2222,88.851448,88.851448,50,16.893711,21.957737,45.073332,21.184466,66.257798,155.10925,1299.7322,12411.529,0.46156385,0.58656385,0.46156385,0.57798228,400,1,1,8,5000,11047.944,20796.129,16000,5000,5000,5000,5000,5000
1.7,1015.1188,1015.1188,716.38275,-785.6797,88.849466,88.849466,50,16.893039,21.956427,47.140782,22.156168,69.29695,158.14642,1299.7053,12411.272,0.46153955,0.58653955,0.46153955,0.60450603,400,1,1,8,5000,11047.724,20795.716,16000,5000,5000,5000,5000,5000
1.8,1039.5693,1039.5693,747.13802,-819.40998,88.847402,88.847402,50,16.892339,21.955063,49.164599,23.107361,72.27196,161.11936,1299.6774,12411.005,0.46151433,0.58651433,0.46151433,0.63047184,400,1,1,8,5000,11047.495,20795.285,16000,5000,5000,5000,5000,5000
1.9,1063.8053,1063.8053,777.27289,-852.45985,88.845259,88.845259,50,16.891613,21.953647,51.147591,24.039368,75.186959,164.03222,1299.6484,12410.728,0.46148818,0.58648818,0.46148818,0.65591575,400,1,1,8,5000,11047.258,20794.838,16000,5000,5000,5000,5000,5000
2,1087.8199,1087.8199,806.82534,-884.87096,88.843038,88.843038,50,16.89086,21.952178,53.092258,24.953361,78.045619,166.88866,1299.6184,12410.442,0.46146113,0.58646113,0.46146113,0.68086982,400,1,1,8,5000,11047.011,20794.374,16000,5000,5000,5000,5000,5000
2.1,1111.6062,1111.6062,835.82907,-916.68027,88.84074,88.84074,50,16.890081,21.95066,55.000816,25.850384,80.8512,169.69194,1299.5875,12410.146,0.4614332,0.5864332,0.4614332,0.7053625,400,1,1,8,5000,11046.757,20793.895,16000,5000,5000,5000,5000,5000
2.2,1135.1574,1135.1574,864.31393,-947.92052,88.838368,88.838368,50,16.889276,21.949092,56.875231,26.731359,83.60659,172.44496,1299.5556,12409.842,0.4614044,0.5864044,0.4614044,0.729419,400,1,1,8,5000,11046.494,20793.4,16000,5000,5000,5000,5000,5000
2.3,1158.4669,1158.4669,892.30628,-978.62062,88.835922,88.835922,50,16.888447,21.947475,58.717237,27.597102,86.314339,175.15026,1299.5227,12409.528,0.46137475,0.58637475,0.46137475,0.75306158,400,1,1,8,5000,11046.222,20792.889,16000,5000,5000,5000,5000,5000
2.4,1181.5282,1181.5282,919.82939,-1008.8061,88.833403,88.833403,50,16.887593,21.94581,60.528365,28.448332,88.976697,177.8101,1299.4889,12409.205,0.46134426,0.58634426,0.46134426,0.77630988,400,1,1,8,5000,11045.943,20792.363,16000,5000,5000,5000,5000,5000
2.5,1204.3349,1204.3349,946.90367,-1038.4993,88.830813,88.830813,50,16.886715,21.944099,62.309959,29.285681,91.595639,180.42645,1299.4542,12408.874,0.46131294,0.58631294,0.46131294,0.79918114,400,1,1,8,5000,11045.656,20791.823,16000,5000,5000,5000,5000,5000
2.6,1226.8808,1226.8808,973.54702,-1067.7199,88.828154,88.828154,50,16.885813,21.942341,64.063195,30.109702,94.172897,183.00105,1299.4186,12408.534,0.46128082,0.58628082,0.46128082,0.82169049,400,1,1,8,5000,11045.361,20791.268,16000,5000,5000,5000,5000,5000
2.7,1249.1598,1249.1598,999.77505,-1096.485,88.825425,88.825425,50,16.884888,21.940537,65.789102,30.920878,96.70998,185.5354,1299.3821,12408.185,0.46124789,0.58624789,0.46124789,0.84385109,400,1,1,8,5000,11045.058,20790.698,16000,5000,5000,5000,5000,5000
2.8,1271.166,1271.166,1025.6013,-1124.8095,88.822628,88.822628,50,16.883939,21.938689,67.488571,31.719628,99.208199,188.03083,1299.3448,12407.829,0.46121418,0.58621418,0.46121418,0.8656744,400,1,1,8,5000,11044.748,20790.114,16000,5000,5000,5000,5000,5000
2.9,1292.8935,1292.8935,1051.0375,-1152.7062,88.819765,88.819765,50,16.882968,21.936797,69.162373,32.506315,101.66869,190.48845,1299.3066,12407.464,0.46117969,0.58617969,0.46117969,0.88717032,400,1,1,8,5000,11044.431,20789.516,16000,5000,5000,5000,5000,5000
3,1314.3367,1314.3367,1076.0937,-1180.1862,88.816836,88.816836,50,16.881975,21.934861,70.81117,33.28125,104.09242,192.90926,1299.2675,12407.091,0.46114444,0.58614444,0.46114444,0.90834734,400,1,1,8,5000,11044.106,20788.905,16000,5000,5000,5000,5000,5000
3.1,1335.4901,1335.4901,1100.7786,-1207.2588,88.813842,88.813842,50,16.88096,21.932882,72.435528,34.044698,106.48023,195.29407,1299.2276,12406.71,0.46110844,0.58610844,0.46110844,0.92921272,400,1,1,8,5000,11043.774,20788.28,16000,5000,5000,5000,5000,5000
