time_s,P_ref,P_cmd,P_fw,P_mech,P_loss,P_loss_base,P_loss_standby,P_loss_bearing,P_loss_windage,P_loss_motor,P_loss_converter,P_loss_conversion,P_loss_total,omega,rpm,soc,energy_kwh,usable_energy_kwh,torque,dc_bus_voltage_v,charge_enabled,discharge_enabled,limit_reason_code,rated_limit_w,torque_limit_w,motor_current_limit_w,converter_current_limit_w,hardware_limit_w,soc_discharge_limit_w,soc_charge_limit_w,discharge_limit_w,charge_limit_w,dc_bus_load_power_w,dc_bus_source_power_w,dc_bus_balance_power_w,dc_bus_net_power_w
0,0,0,0,-0,134.21875,134.21875,50,30.625,53.59375,0,0,0,134.21875,1749.9969,16711.24,0.93836433,1.0633643,0.93836433,0,399.87775,1,1,0,5000,14875,28000,16000,5000,5000,726.99653,5000,726.99653,977.88367,0,977.88367,-977.88367
0.1,24.487504,24.487504,2.3302942,-2.5557076,134.21836,134.21836,50,30.624893,53.593468,0.15334245,0.072070953,0.22541341,134.44377,1749.9938,16711.21,0.93836053,1.0633605,0.93836053,0.0014604095,399.75559,1,1,8,5000,14874.974,27999.951,15995.11,5000,5000,727.22955,5000,727.22955,979.1678,0,979.1678,-976.83751
0.2,48.992965,48.992965,6.7708344,-7.425789,134.21796,134.21796,50,30.624783,53.593181,0.44554734,0.20940725,0.65495459,134.87292,1749.9906,16711.179,0.93835659,1.0633566,0.93835659,0.0042433308,399.63378,1,1,8,5000,14874.947,27999.901,15990.223,5000,5000,727.467,5000,727.467,980.44808,0,980.44808,-973.67725
0.3,73.463355,73.463355,13.117467,-14.386342,134.21755,134.21755,50,30.62467,53.592883,0.86318054,0.40569485,1.2688754,135.48643,1749.9872,16711.147,0.93835247,1.0633525,0.93835247,0.0082208273,399.51258,1,1,8,5000,14874.92,27999.849,15985.351,5000,5000,727.71291,5000,727.71291,981.72444,0,981.72444,-968.60697
0.4,97.850623,97.850623,21.180893,-23.229757,134.21712,134.21712,50,30.624551,53.592571,1.3937854,0.65507916,2.0488646,136.26599,1749.9836,16711.112,0.93834809,1.0633481,0.93834809,0.013274272,399.39219,1,1,8,5000,14874.891,27999.795,15980.503,5000,5000,727.9709,5000,727.9709,982.99681,0,982.99681,-961.81592
0.5,122.11133,122.11133,30.785694,-33.763647,134.21667,134.21667,50,30.624425,53.592241,2.0258188,0.95213486,2.9779537,137.19462,1749.9797,16711.075,0.93834343,1.0633434,0.93834343,0.019293736,399.2728,1,1,8,5000,14874.86,27999.737,15975.687,5000,5000,728.24425,5000,728.24425,984.26514,0,984.26514,-953.47944
0.6,146.20632,146.20632,41.769419,-45.809847,134.21618,134.21618,50,30.624291,53.591888,2.7485908,1.2918377,4.0404285,138.25661,1749.9756,16711.036,0.93833843,1.0633384,0.93833843,0.02617742,399.1546,1,1,8,5000,14874.828,27999.676,15970.912,5000,5000,728.53588,5000,728.53588,985.52936,0,985.52936,-943.75994
0.7,170.10041,170.10041,53.981727,-59.203473,134.21566,134.21566,50,30.624147,53.59151,3.5522084,1.6695379,5.2217463,139.4374,1749.9712,16710.994,0.93833305,1.0633331,0.93833305,0.033831113,399.03773,1,1,8,5000,14874.793,27999.61,15966.184,5000,5000,728.84843,5000,728.84843,986.78941,0,986.78941,-932.80768
0.8,193.7621,193.7621,67.283588,-73.792046,134.2151,134.2151,50,30.623992,53.591104,4.4275228,2.0809357,6.5084585,140.72355,1749.9664,16710.949,0.93832727,1.0633273,0.93832727,0.042167692,398.92234,1,1,8,5000,14874.755,27999.539,15961.509,5000,5000,729.18422,5000,729.18422,988.04523,0,988.04523,-920.76164
0.9,217.16328,217.16328,81.546526,-89.434663,134.21449,134.21449,50,30.623826,53.590667,5.3660798,2.5220575,7.8881373,142.10263,1749.9613,16710.9,0.93832106,1.0633211,0.93832106,0.051106651,398.80855,1,1,8,5000,14874.715,27999.463,15956.894,5000,5000,729.54535,5000,729.54535,989.29676,0,989.29676,-907.75024
1,240.27902,240.27902,96.65192,-106.00123,134.21384,134.21384,50,30.623647,53.590197,6.3600737,2.9892346,9.3493084,143.56315,1749.9558,16710.847,0.93831439,1.0633144,0.93831439,0.060573659,398.69647,1,1,8,5000,14874.671,27999.381,15952.342,5000,5000,729.93363,5000,729.93363,990.54394,0,990.54394,-893.89202
1.1,263.08729,263.08729,112.49034,-123.37173,134.21315,134.21315,50,30.623454,53.589693,7.4023036,3.4790827,10.881386,145.09453,1749.95,16710.791,0.93830723,1.0633072,0.93830723,0.070500146,398.58618,1,1,8,5000,14874.625,27999.293,15947.859,5000,5000,730.35067,5000,730.35067,991.78671,0,991.78671,-879.29637
1.2,285.56877,285.56877,128.96093,-141.43555,134.2124,134.2124,50,30.623248,53.589152,8.4861327,3.9884824,12.474615,146.68702,1749.9437,16710.731,0.93829958,1.0632996,0.93829958,0.080822914,398.47777,1,1,8,5000,14874.575,27999.199,15943.447,5000,5000,730.79786,5000,730.79786,993.025,0,993.025,-864.06407
1.3,307.70661,307.70661,145.97083,-160.09084,134.2116,134.2116,50,30.623028,53.588573,9.6054506,4.5145618,14.120012,148.33161,1749.9369,16710.667,0.9382914,1.0632914,0.9382914,0.091483779,398.37132,1,1,8,5000,14874.521,27999.098,15939.111,5000,5000,731.27642,5000,731.27642,994.25876,0,994.25876,-848.28793
1.4,329.48627,329.48627,163.43463,-179.24395,134.21075,134.21075,50,30.622792,53.587955,10.754637,5.0546794,15.809316,150.02006,1749.9298,16710.598,0.9382827,1.0632827,0.9382827,0.10242923,398.26687,1,1,8,5000,14874.464,27998.991,15934.853,5000,5000,731.78736,5000,731.78736,995.48792,0,995.48792,-832.05329
1.5,350.89532,350.89532,181.27388,-198.80881,134.20984,134.20984,50,30.622542,53.587297,11.928529,5.6064086,17.534937,151.74478,1749.9221,16710.526,0.93827344,1.0632734,0.93827344,0.11361009,398.16449,1,1,8,5000,14874.403,27998.876,15930.675,5000,5000,732.33155,5000,732.33155,996.71243,0,996.71243,-815.43855
1.6,371.92329,371.92329,199.41657,-218.70648,134.20887,134.20887,50,30.622275,53.586598,13.122389,6.1675227,19.289911,153.49878,1749.9141,16710.449,0.93826364,1.0632636,0.93826364,0.12498127,398.0642,1,1,8,5000,14874.338,27998.754,15926.579,5000,5000,732.90971,5000,732.90971,997.93223,0,997.93223,-798.51566
1.7,392.56147,392.56147,217.79673,-238.86459,134.20785,134.20785,50,30.621993,53.585856,14.331876,6.7359815,21.067857,155.27571,1749.9056,16710.367,0.93825328,1.0632533,0.93825328,0.13650142,397.96604,1,1,8,5000,14874.27,27998.625,15922.568,5000,5000,733.52241,5000,733.52241,999.14725,0,999.14725,-781.35052
1.8,412.80283,412.80283,236.35402,-259.21695,134.20677,134.20677,50,30.621694,53.585073,15.553017,7.3099181,22.862935,157.0697,1749.8966,16710.281,0.93824235,1.0632423,0.93824235,0.14813273,397.87004,1,1,8,5000,14874.197,27998.489,15918.642,5000,5000,734.17011,5000,734.17011,1000.3574,0,1000.3574,-764.00342
1.9,432.64184,432.64184,255.03327,-279.70309,134.20563,134.20563,50,30.62138,53.584247,16.782185,7.8876271,24.669812,158.87544,1749.8871,16710.191,0.93823085,1.0632309,0.93823085,0.15984065,397.77622,1,1,8,5000,14874.121,27998.345,15914.802,5000,5000,734.85313,5000,734.85313,1001.5627,0,1001.5627,-746.52947
2,452.07434,452.07434,273.78421,-300.26783,134.20443,134.20443,50,30.621049,53.583378,18.01607,8.4675529,26.483623,160.68805,1749.8772,16710.096,0.93821878,1.0632188,0.93821878,0.17159366,397.68457,1,1,8,5000,14874.04,27998.194,15911.049,5000,5000,735.57172,5000,735.57172,1002.7631,0,1002.7631,-728.97888
2.1,471.09743,471.09743,292.56105,-320.86099,134.20317,134.20317,50,30.620701,53.582465,19.251659,9.0482798,28.299939,162.50311,1749.8668,16709.997,0.93820614,1.0632061,0.93820614,0.18336309,397.59512,1,1,8,5000,14873.956,27998.035,15907.383,5000,5000,736.32602,5000,736.32602,1003.9584,0,1003.9584,-711.39739
2.2,489.70939,489.70939,311.32219,-341.43693,134.20185,134.20185,50,30.620337,53.58151,20.486216,9.6285214,30.114737,164.31658,1749.8559,16709.893,0.93819293,1.0631929,0.93819293,0.19512288,397.50786,1,1,8,5000,14873.867,27997.868,15903.805,5000,5000,737.11606,5000,737.11606,1005.1487,0,1005.1487,-693.82652
2.3,507.90953,507.90953,330.02995,-361.95432,134.20047,134.20047,50,30.619956,53.580511,21.717259,10.207112,31.924371,166.12484,1749.8445,16709.785,0.93817915,1.0631791,0.93817915,0.20684942,397.42278,1,1,8,5000,14873.775,27997.694,15900.314,5000,5000,737.94182,5000,737.94182,1006.3339,0,1006.3339,-676.30391
2.4,525.69811,525.69811,348.65024,-382.37578,134.19903,134.19903,50,30.619559,53.579469,22.942547,10.782997,33.725544,167.92457,1749.8327,16709.672,0.9381648,1.0631648,0.9381648,0.21852133,397.33988,1,1,8,5000,14873.679,27997.513,15896.911,5000,5000,738.8032,5000,738.8032,1007.5138,0,1007.5138,-658.86359
2.5,543.07628,543.07628,367.15232,-402.66761,134.19753,134.19753,50,30.619146,53.578385,24.160056,11.355226,35.515283,169.71281,1749.8205,16709.555,0.93814989,1.0631499,0.93814989,0.23011938,397.25914,1,1,8,5000,14873.578,27997.324,15893.595,5000,5000,739.70003,5000,739.70003,1008.6886,0,1008.6886,-641.53623
2.6,560.04596,560.04596,385.50858,-422.79949,134.19597,134.19597,50,30.618717,53.577257,25.36797,11.922946,37.290915,171.48689,1749.8077,16709.433,0.93813441,1.0631344,0.93813441,0.24162626,397.18055,1,1,8,5000,14873.474,27997.128,15890.366,5000,5000,740.63209,5000,740.63209,1009.858,0,1009.858,-624.3494
2.7,576.60977,576.60977,403.69426,-442.74431,134.19436,134.19436,50,30.618271,53.576088,26.564659,12.48539,39.050048,173.24441,1749.7945,16709.307,0.93811839,1.0631184,0.93811839,0.25302645,397.10409,1,1,8,5000,14873.366,27996.924,15887.222,5000,5000,741.59909,5000,741.59909,1011.0221,0,1011.0221,-607.3278
2.8,592.77099,592.77099,421.68729,-462.47784,134.19269,134.19269,50,30.61781,53.574876,27.74867,13.041875,40.790545,174.98323,1749.7809,16709.177,0.93810181,1.0631018,0.93810181,0.26430614,397.02974,1,1,8,5000,14873.254,27996.713,15884.164,5000,5000,742.60072,5000,742.60072,1012.1807,0,1012.1807,-590.49343
2.9,608.53346,608.53346,439.46806,-481.97856,134.19096,134.19096,50,30.617332,53.573623,28.918714,13.591796,42.510509,176.70147,1749.7668,16709.042,0.9380847,1.0630847,0.9380847,0.27545303,396.95746,1,1,8,5000,14873.138,27996.495,15881.189,5000,5000,743.63661,5000,743.63661,1013.3339,0,1013.3339,-573.86586
3,623.90151,623.90151,457.01922,-501.22748,134.18917,134.18917,50,30.616839,53.57233,30.073649,14.134615,44.208264,178.39743,1749.7523,16708.904,0.93806705,1.063067,0.93806705,0.28645625,396.88724,1,1,8,5000,14873.018,27996.269,15878.298,5000,5000,744.70635,5000,744.70635,1014.4816,0,1014.4816,-557.46237
3.1,638.87996,638.87996,474.32556,-520.20789,134.18733,134.18733,50,30.616331,53.570995,31.212474,14.669863,45.882336,180.06966,1749.7373,16708.761,0.93804887,1.0630489,0.93804887,0.29730628,396.81904,1,1,8,5000,14872.895,27996.037,15875.489,5000,5000,745.8095,5000,745.8095,1015.6237,0,1015.6237,-541.29813
