time_s,P_ref,P_cmd,P_fw,P_mech,P_loss,P_loss_base,P_loss_standby,P_loss_bearing,P_loss_windage,P_loss_motor,P_loss_converter,P_loss_conversion,P_loss_total,omega,rpm,soc,energy_kwh,usable_energy_kwh,torque,dc_bus_voltage_v,charge_enabled,discharge_enabled,limit_reason_code,rated_limit_w,torque_limit_w,motor_current_limit_w,converter_current_limit_w,hardware_limit_w,soc_discharge_limit_w,soc_charge_limit_w,discharge_limit_w,charge_limit_w
0,3384,300,28.548775,-31.310347,88.87,88.87,50,16.9,21.97,1.8786208,0.88295179,2.7615726,91.631573,1299.9963,12414.05,0.46180222,0.58680222,0.46180222,0.024084951,400,1,1,7,5000,11050,20800,16000,5000,5000,5000,5000,5000
0.1,3384.377,600,82.929549,-90.951468,88.869716,88.869716,50,16.899904,21.969813,5.4570881,2.5648314,8.0219195,96.891636,1299.9908,12413.997,0.46179722,0.58679722,0.46179722,0.069963165,400,1,1,7,5000,11049.969,20799.941,16000,5000,5000,5000,5000,5000
0.2,3384.754,900,160.68408,-176.22733,88.869292,88.869292,50,16.89976,21.969532,10.57364,4.9696108,15.543251,104.41254,1299.9826,12413.92,0.46178986,0.58678986,0.46178986,0.1355613,400,1,1,7,5000,11049.922,20799.852,16000,5000,5000,5000,5000,5000
0.3,3385.131,1200,259.58807,-284.69847,88.868666,88.868666,50,16.899548,21.969118,17.081908,8.028497,25.110405,113.97907,1299.9711,12413.81,0.46177948,0.58677948,0.46177948,0.21900369,400,1,1,7,5000,11049.852,20799.722,16000,5000,5000,5000,5000,5000
0.4,3385.508,1500,377.62887,-414.15757,88.867785,88.867785,50,16.899249,21.968536,24.849454,11.679243,36.528698,125.39648,1299.9556,12413.662,0.46176551,0.58676551,0.46176551,0.31859362,400,1,1,7,5000,11049.755,20799.538,16000,5000,5000,5000,5000,5000
0.5,3385.8849,1800,512.98538,-562.60735,88.866598,88.866598,50,16.898847,21.967751,33.756441,15.865527,49.621968,138.48857,1299.9356,12413.471,0.46174741,0.58674741,0.46174741,0.43279633,400,1,1,7,5000,11049.623,20799.29,16000,5000,5000,5000,5000,5000
0.6,3386.2619,2100,664.00979,-728.24061,88.86506,88.86506,50,16.898325,21.966735,43.694437,20.536385,64.230822,153.09588,1299.9105,12413.23,0.46172471,0.58672471,0.46172471,0.56022368,400,1,1,7,5000,11049.453,20798.969,16000,5000,5000,5000,5000,5000
0.7,3386.6389,2400,829.2111,-909.42213,88.863132,88.863132,50,16.897672,21.96546,54.565328,25.645704,80.211032,169.07416,1299.8797,12412.937,0.46169698,0.58669698,0.46169698,0.69962021,400,1,1,7,5000,11049.239,20798.567,16000,5000,5000,5000,5000,5000
0.8,3387.0158,2700,1007.2402,-1104.6723,88.860776,88.860776,50,16.896873,21.963903,66.280338,31.151759,97.432097,186.29287,1299.843,12412.586,0.46166383,0.58666383,0.46166383,0.84985056,400,1,1,7,5000,11048.978,20798.076,16000,5000,5000,5000,5000,5000
0.9,3387.3928,3000,1196.8764,-1312.6523,88.85796,88.85796,50,16.895918,21.962041,78.759138,37.016795,115.77593,204.63389,1299.7999,12412.174,0.4616249,0.5866249,0.4616249,1.009888,400,1,1,7,5000,11048.666,20797.488,16000,5000,5000,5000,5000,5000
1,3387.7697,3300,1397.015,-1532.1507,88.854652,88.854652,50,16.894797,21.959855,91.929044,43.206651,135.1357,223.99035,1299.75,12411.698,0.46157987,0.58657987,0.46157987,1.1788042,400,1,1,7,5000,11048.299,20796.798,16000,5000,5000,5000,5000,5000
1.1,3388.1466,3388.1466,1586.4963,-1739.9608,88.850827,88.850827,50,16.8935,21.957327,104.39765,49.066895,153.46454,242.31537,1299.6937,12411.161,0.46152907,0.58652907,0.46152907,1.3387468,400,1,1,8,5000,11047.875,20796,16000,5000,5000,5000,5000,5000
1.2,3388.5236,3388.5236,1757.9818,-1928.0345,88.846512,88.846512,50,16.892037,21.954475,115.68207,54.370572,170.05264,258.89915,1299.6316,12410.568,0.46147305,0.58647305,0.46147305,1.4835238,400,1,1,8,5000,11047.396,20795.099,16000,5000,5000,5000,5000,5000
1.3,3388.9005,3388.9005,1913.1843,-2098.2499,88.841753,88.841753,50,16.890424,21.951329,125.89499,59.170647,185.06564,273.90739,1299.5643,12409.925,0.46141229,0.58641229,0.46141229,1.6145795,400,1,1,8,5000,11046.869,20794.106,16000,5000,5000,5000,5000,5000
1.4,3389.2774,3389.2774,2053.6531,-2252.3065,88.836592,88.836592,50,16.888674,21.947918,135.13839,63.515044,198.65344,287.49003,1299.4923,12409.237,0.46134726,0.58634726,0.46134726,1.7332204,400,1,1,8,5000,11046.297,20793.029,16000,5000,5000,5000,5000,5000
1.5,3389.6542,3389.6542,2180.7904,-2391.7421,88.831068,88.831068,50,16.886801,21.944267,143.50452,67.447126,210.95165,299.78272,1299.4159,12408.508,0.46127836,0.58627836,0.46127836,1.8406286,400,1,1,8,5000,11045.684,20791.876,16000,5000,5000,5000,5000,5000
1.6,3390.0311,3390.0311,2295.8649,-2517.9479,88.825216,88.825216,50,16.884817,21.940399,151.07687,71.00613,222.083,310.90822,1299.3356,12407.741,0.46120595,0.58620595,0.46120595,1.9378733,400,1,1,8,5000,11045.035,20790.654,16000,5000,5000,5000,5000,5000
1.7,3390.4079,3390.4079,2400.0244,-2632.183,88.819066,88.819066,50,16.882731,21.936335,157.93098,74.227559,232.15854,320.9776,1299.2519,12406.942,0.46113036,0.58613036,0.46113036,2.025922,400,1,1,8,5000,11044.353,20789.37,16000,5000,5000,5000,5000,5000
1.8,3390.7847,3390.7847,2494.3077,-2735.5865,88.812647,88.812647,50,16.880554,21.932092,164.13519,77.143538,241.27872,330.09137,1299.1649,12406.111,0.46105191,0.58605191,0.46105191,2.1056499,400,1,1,8,5000,11043.641,20788.03,16000,5000,5000,5000,5000,5000
1.9,3391.1615,3391.1615,2579.6546,-2829.1891,88.805984,88.805984,50,16.878295,21.927689,169.75135,79.783133,249.53448,338.34046,1299.0751,12405.253,0.46097085,0.58597085,0.46097085,2.1778488,400,1,1,8,5000,11042.902,20786.639,16000,5000,5000,5000,5000,5000
2,3391.5383,3391.5383,2656.9156,-2913.9237,88.7991,88.7991,50,16.875961,21.92314,174.83542,82.172647,257.00807,345.80717,1298.9826,12404.37,0.46088744,0.58588744,0.46088744,2.2432353,400,1,1,8,5000,11042.138,20785.201,16000,5000,5000,5000,5000,5000
2.1,3391.915,3391.915,2726.86,-2990.634,88.792017,88.792017,50,16.873558,21.918459,179.43804,84.335877,263.77391,352.56593,1298.8878,12403.465,0.4608019,0.5858019,0.4608019,2.3024575,400,1,1,8,5000,11041.352,20783.722,16000,5000,5000,5000,5000,5000
2.2,3392.2918,3392.2918,2790.1842,-3060.0836,88.784754,88.784754,50,16.871095,21.913659,183.60502,86.294358,269.89937,358.68413,1298.7908,12402.539,0.46071444,0.58571444,0.46071444,2.356102,400,1,1,8,5000,11040.546,20782.205,16000,5000,5000,5000,5000,5000
2.3,3392.6685,3392.6685,2847.5182,-3122.9636,88.777327,88.777327,50,16.868576,21.908751,187.37781,88.067573,275.44539,364.22271,1298.6919,12401.594,0.46062522,0.58562522,0.46062522,2.4046994,400,1,1,8,5000,11039.722,20780.653,16000,5000,5000,5000,5000,5000
2.4,3393.0451,3393.0451,2899.4319,-3179.899,88.769752,88.769752,50,16.866006,21.903746,190.79394,89.673153,280.4671,369.23685,1298.5912,12400.633,0.46053442,0.58553442,0.46053442,2.4487298,400,1,1,8,5000,11038.881,20779.07,16000,5000,5000,5000,5000,5000
2.5,3393.4218,3393.4218,2946.4413,-3231.4557,88.762043,88.762043,50,16.863391,21.898652,193.88734,91.12705,285.01439,373.77643,1298.4889,12399.656,0.4604422,0.5854422,0.4604422,2.4886278,400,1,1,8,5000,11038.025,20777.459,16000,5000,5000,5000,5000,5000
2.6,3393.7984,3393.7984,2989.013,-3278.1454,88.754214,88.754214,50,16.860735,21.893478,196.68872,92.4437,289.13242,377.88664,1298.3852,12398.666,0.46034867,0.58534867,0.46034867,2.5247864,400,1,1,8,5000,11037.156,20775.823,16000,5000,5000,5000,5000,5000
2.7,3394.175,3394.175,3027.5692,-3320.4313,88.746274,88.746274,50,16.858042,21.888232,199.22588,93.636161,292.86204,381.60831,1298.2802,12397.663,0.46025397,0.58525397,0.46025397,2.5575614,400,1,1,8,5000,11036.274,20774.163,16000,5000,5000,5000,5000,5000
2.8,3394.5516,3394.5516,3062.4922,-3358.7324,88.738235,88.738235,50,16.855314,21.882921,201.52394,94.716254,296.2402,384.97843,1298.174,12396.648,0.46015821,0.58515821,0.46015821,2.5872745,400,1,1,8,5000,11035.382,20772.483,16000,5000,5000,5000,5000,5000
2.9,3394.9281,3394.9281,3094.1277,-3393.428,88.730106,88.730106,50,16.852556,21.87755,203.60568,95.69467,299.30035,388.03046,1298.0667,12395.624,0.46006148,0.58506148,0.46006148,2.6142171,400,1,1,8,5000,11034.479,20770.783,16000,5000,5000,5000,5000,5000
3,3395.3046,3395.3046,3122.7884,-3424.8612,88.721896,88.721896,50,16.849771,21.872126,205.49167,96.581086,302.07276,390.79465,1297.9584,12394.59,0.45996388,0.58496388,0.45996388,2.6386525,400,1,1,8,5000,11033.567,20769.067,16000,5000,5000,5000,5000,5000
3.1,3395.681,3395.681,3148.7576,-3453.3424,88.713613,88.713613,50,16.84696,21.866653,207.20054,97.384256,304.5848,393.29841,1297.8492,12393.547,0.45986549,0.58486549,0.45986549,2.6608194,400,1,1,8,5000,11032.646,20767.334,16000,5000,5000,5000,5000,5000
3.2,3396.0574,3396.0574,3172.2913,-3479.1525,88.705262,88.705262,50,16.844126,21.861136,208.74915,98.112102,306.86125,395.56652,1297.7393,12392.497,0.45976639,0.58476639,0.45976639,2.6809334,400,1,1,8,5000,11031.718,20765.588,16000,5000,5000,5000,5000,5000
3.3,3396.4338,3396.4338,3193.6213,-3502.5458,88.696852,88.696852,50,16.841272,21.85558,210.15275,98.771792,308.92454,397.62139,1297.6286,12391.44,0.45966663,0.58466663,0.45966663,2.6991898,400,1,1,8,5000,11030.784,20763.828,16000,5000,5000,5000,5000,5000
3.4,3396.8102,3396.8102,3212.9573,-3523.7522,88.688386,88.688386,50,16.838399,21.849987,211.42513,99.369812,310.79494,399.48333,1297.5172,12390.377,0.45956628,0.58456628,0.45956628,2.7157653,400,1,1,8,5000,11029.843,20762.057,16000,5000,5000,5000,5000,5000
3.5,3397.1865,3397.1865,3230.489,-3542.9798,88.679871,88.679871,50,16.835509,21.844363,212.57879,99.91203,312.49082,401.17069,1297.4052,12389.307,0.4594654,0.5844654,0.4594654,2.7308197,400,1,1,8,5000,11028.896,20760.275,16000,5000,5000,5000,5000,5000
3.6,3397.5628,3397.5628,3246.3882,-3560.4169,88.671312,88.671312,50,16.832604,21.838708,213.62502,100.40376,314.02877,402.70008,1297.2927,12388.233,0.45936404,0.58436404,0.45936404,2.7444977,400,1,1,8,5000,11027.945,20758.484,16000,5000,5000,5000,5000,5000
3.7,3397.939,3397.939,3260.8101,-3576.234,88.662712,88.662712,50,16.829684,21.833027,214.57404,100.8498,315.42383,404.08655,1297.1797,12387.154,0.45926224,0.58426224,0.45926224,2.7569302,400,1,1,8,5000,11026.988,20756.684,16000,5000,5000,5000,5000,5000
3.8,3398.3152,3398.3152,3273.8955,-3590.5851,88.654075,88.654075,50,16.826752,21.827322,215.4351,101.2545,316.6896,405.34368,1297.0663,12386.07,0.45916004,0.58416004,0.45916004,2.7682356,400,1,1,8,5000,11026.028,20754.876,16000,5000,5000,5000,5000,5000
3.9,3398.6913,3398.6913,3285.7714,-3603.6097,88.645404,88.645404,50,16.823809,21.821595,216.21658,101.62179,317.83838,406.48378,1296.9524,12384.983,0.45905747,0.58405747,0.45905747,2.7785212,400,1,1,8,5000,11025.063,20753.06,16000,5000,5000,5000,5000,5000
4,3399.0674,3399.0674,3296.5529,-3615.4342,88.636704,88.636704,50,16.820855,21.815849,216.92605,101.95524,318.8813,407.518,1296.8382,12383.892,0.45895458,0.58395458,0.45895458,2.7878839,400,1,1,8,5000,11024.095,20751.238,16000,5000,5000,5000,5000,5000
4.1,3399.4434,3399.4434,3306.3442,-3626.1727,88.627976,88.627976,50,16.817892,21.810084,217.57036,102.25807,319.82843,408.4564,1296.7236,12382.798,0.45885139,0.58385139,0.45885139,2.7964115,400,1,1,8,5000,11023.124,20749.41,16000,5000,5000,5000,5000,5000
4.2,3399.8195,3399.8195,3315.2396,-3635.9285,88.619223,88.619223,50,16.81492,21.804303,218.15571,102.53318,320.68889,409.30811,1296.6087,12381.701,0.45874793,0.58374793,0.45874793,2.8041834,400,1,1,8,5000,11022.15,20747.577,16000,5000,5000,5000,5000,5000
4.3,3400.1954,3400.1954,3323.3242,-3644.7951,88.610448,88.610448,50,16.811941,21.798508,218.68771,102.78322,321.47093,410.08138,1296.4935,12380.601,0.45864423,0.58364423,0.45864423,2.8112714,400,1,1,8,5000,11021.174,20745.739,16000,5000,5000,5000,5000,5000
4.4,3400.5713,3400.5713,3330.6752,-3652.8572,88.601653,88.601653,50,16.808954,21.792699,219.17143,103.01057,322.18201,410.78366,1296.3781,12379.499,0.4585403,0.5835403,0.4585403,2.8177407,400,1,1,8,5000,11020.195,20743.896,16000,5000,5000,5000,5000,5000
4.5,3400.9472,3400.9472,3337.3625,-3660.1914,88.592839,88.592839,50,16.805961,21.786879,219.61148,103.2174,322.82888,411.42172,1296.2624,12378.394,0.45843617,0.58343617,0.45843617,2.8236501,400,1,1,8,5000,11019.213,20742.049,16000,5000,5000,5000,5000,5000
