time_s,P_ref,P_cmd,P_fw,P_mech,P_loss,P_loss_base,P_loss_standby,P_loss_bearing,P_loss_windage,P_loss_motor,P_loss_converter,P_loss_conversion,P_loss_total,omega,rpm,soc,energy_kwh,usable_energy_kwh,torque,dc_bus_voltage_v,charge_enabled,discharge_enabled,limit_reason_code,rated_limit_w,torque_limit_w,motor_current_limit_w,converter_current_limit_w,hardware_limit_w,soc_discharge_limit_w,soc_charge_limit_w,discharge_limit_w,charge_limit_w
0,764.33391,300,28.548775,-31.310347,88.87,88.87,50,16.9,21.97,1.8786208,0.88295179,2.7615726,91.631573,1299.9963,12414.05,0.46180222,0.58680222,0.46180222,0.024084951,400,1,1,7,5000,11050,20800,16000,5000,5000,5000,5000,5000
0.1,760.62415,600,82.929549,-90.951468,88.869716,88.869716,50,16.899904,21.969813,5.4570881,2.5648314,8.0219195,96.891636,1299.9908,12413.997,0.46179722,0.58679722,0.46179722,0.069963165,400,1,1,7,5000,11049.969,20799.941,16000,5000,5000,5000,5000,5000
0.2,756.87287,756.87287,147.06373,-161.28947,88.869292,88.869292,50,16.89976,21.969532,9.6773679,4.5483629,14.225731,103.09502,1299.9831,12413.924,0.46179027,0.58679027,0.46179027,0.12407044,400,1,1,8,5000,11049.922,20799.852,16000,5000,5000,5000,5000,5000
0.3,753.06201,753.06201,204.7321,-224.53619,88.868702,88.868702,50,16.89956,21.969142,13.472171,6.3319205,19.804092,108.67279,1299.9734,12413.832,0.46178157,0.58678157,0.46178157,0.17272367,400,1,1,8,5000,11049.856,20799.729,16000,5000,5000,5000,5000,5000
0.4,749.17359,749.17359,256.54255,-281.35836,88.867962,88.867962,50,16.899309,21.968653,16.881502,7.9343058,24.815807,113.68377,1299.962,12413.723,0.46177128,0.58677128,0.46177128,0.21643583,400,1,1,8,5000,11049.774,20799.575,16000,5000,5000,5000,5000,5000
0.5,745.18964,745.18964,303.04347,-332.35739,88.867088,88.867088,50,16.899013,21.968075,19.941444,9.3724785,29.313922,118.18101,1299.9491,12413.599,0.46175958,0.58675958,0.46175958,0.25566955,400,1,1,8,5000,11049.677,20799.393,16000,5000,5000,5000,5000,5000
0.6,741.09232,741.09232,344.72933,-378.0756,88.866094,88.866094,50,16.898676,21.967418,22.684536,10.661732,33.346268,122.21236,1299.9347,12413.462,0.46174661,0.58674661,0.46174661,0.29084199,400,1,1,8,5000,11049.567,20799.185,16000,5000,5000,5000,5000,5000
0.7,736.86389,736.86389,382.04587,-419.00183,88.864992,88.864992,50,16.898302,21.96669,25.14011,11.815852,36.955961,125.82095,1299.9191,12413.313,0.4617325,0.5867325,0.4617325,0.32232916,400,1,1,8,5000,11049.445,20798.955,16000,5000,5000,5000,5000,5000
0.8,732.48672,732.48672,415.39472,-455.57658,88.863794,88.863794,50,16.897896,21.965898,27.334595,12.84726,40.181854,129.04565,1299.9023,12413.153,0.46171738,0.58671738,0.46171738,0.35046985,400,1,1,8,5000,11049.312,20798.705,16000,5000,5000,5000,5000,5000
0.9,727.94334,727.94334,445.13766,-488.1966,88.862509,88.862509,50,16.897461,21.965048,29.291796,13.767144,43.05894,131.92145,1299.8846,12412.983,0.46170135,0.58670135,0.46170135,0.37556919,400,1,1,8,5000,11049.17,20798.437,16000,5000,5000,5000,5000,5000
