time_s,P_ref,P_cmd,P_fw,P_mech,P_loss,P_loss_base,P_loss_standby,P_loss_bearing,P_loss_windage,P_loss_motor,P_loss_converter,P_loss_conversion,P_loss_total,omega,rpm,soc,energy_kwh,usable_energy_kwh,torque,dc_bus_voltage_v,charge_enabled,discharge_enabled,limit_reason_code,rated_limit_w,torque_limit_w,motor_current_limit_w,converter_current_limit_w,hardware_limit_w,soc_discharge_limit_w,soc_charge_limit_w,discharge_limit_w,charge_limit_w
0,0,0,0,-0,88.87,88.87,50,16.9,21.97,0,0,0,88.87,1299.9973,12414.059,0.46180309,0.58680309,0.46180309,0,400,1,1,0,5000,11050,20800,16000,5000,5000,5000,5000,5000
0.1,0,0,0,-0,88.86979,88.86979,50,16.899929,21.969861,0,0,0,88.86979,1299.9945,12414.033,0.46180062,0.58680062,0.46180062,0,400,1,1,0,5000,11049.977,20799.956,16000,5000,5000,5000,5000,5000
0.2,0,0,0,-0,88.869581,88.869581,50,16.899858,21.969723,0,0,0,88.869581,1299.9918,12414.007,0.46179815,0.58679815,0.46179815,0,400,1,1,0,5000,11049.954,20799.912,16000,5000,5000,5000,5000,5000
0.3,0,0,0,-0,88.869371,88.869371,50,16.899787,21.969584,0,0,0,88.869371,1299.9891,12413.981,0.46179568,0.58679568,0.46179568,0,400,1,1,0,5000,11049.93,20799.869,16000,5000,5000,5000,5000,5000
0.4,0,0,0,-0,88.869161,88.869161,50,16.899716,21.969445,0,0,0,88.869161,1299.9863,12413.955,0.46179321,0.58679321,0.46179321,0,400,1,1,0,5000,11049.907,20799.825,16000,5000,5000,5000,5000,5000
0.5,0,0,0,-0,88.868951,88.868951,50,16.899645,21.969307,0,0,0,88.868951,1299.9836,12413.929,0.46179074,0.58679074,0.46179074,0,400,1,1,0,5000,11049.884,20799.781,16000,5000,5000,5000,5000,5000
0.6,0,0,0,-0,88.868742,88.868742,50,16.899573,21.969168,0,0,0,88.868742,1299.9809,12413.903,0.46178828,0.58678828,0.46178828,0,400,1,1,0,5000,11049.861,20799.737,16000,5000,5000,5000,5000,5000
0.7,0,0,0,-0,88.868532,88.868532,50,16.899502,21.96903,0,0,0,88.868532,1299.9781,12413.877,0.46178581,0.58678581,0.46178581,0,400,1,1,0,5000,11049.837,20799.694,16000,5000,5000,5000,5000,5000
0.8,0,0,0,-0,88.868322,88.868322,50,16.899431,21.968891,0,0,0,88.868322,1299.9754,12413.851,0.46178334,0.58678334,0.46178334,0,400,1,1,0,5000,11049.814,20799.65,16000,5000,5000,5000,5000,5000
0.9,0,0,0,-0,88.868112,88.868112,50,16.89936,21.968752,0,0,0,88.868112,1299.9727,12413.824,0.46178087,0.58678087,0.46178087,0,400,1,1,0,5000,11049.791,20799.606,16000,5000,5000,5000,5000,5000
1,0,0,0,-0,88.867903,88.867903,50,16.899289,21.968614,0,0,0,88.867903,1299.9699,12413.798,0.4617784,0.5867784,0.4617784,0,400,1,1,0,5000,11049.768,20799.562,16000,5000,5000,5000,5000,5000
1.1,0,0,0,-0,88.867693,88.867693,50,16.899218,21.968475,0,0,0,88.867693,1299.9672,12413.772,0.46177593,0.58677593,0.46177593,0,400,1,1,0,5000,11049.744,20799.519,16000,5000,5000,5000,5000,5000
1.2,0,0,0,-0,88.867483,88.867483,50,16.899147,21.968336,0,0,0,88.867483,1299.9645,12413.746,0.46177346,0.58677346,0.46177346,0,400,1,1,0,5000,11049.721,20799.475,16000,5000,5000,5000,5000,5000
1.3,0,0,0,-0,88.867274,88.867274,50,16.899076,21.968198,0,0,0,88.867274,1299.9617,12413.72,0.461771,0.586771,0.461771,0,400,1,1,0,5000,11049.698,20799.431,16000,5000,5000,5000,5000,5000
1.4,0,0,0,-0,88.867064,88.867064,50,16.899005,21.968059,0,0,0,88.867064,1299.959,12413.694,0.46176853,0.58676853,0.46176853,0,400,1,1,0,5000,11049.675,20799.387,16000,5000,5000,5000,5000,5000
1.5,0,0,0,-0,88.866854,88.866854,50,16.898934,21.967921,0,0,0,88.866854,1299.9562,12413.668,0.46176606,0.58676606,0.46176606,0,400,1,1,0,5000,11049.651,20799.344,16000,5000,5000,5000,5000,5000
1.6,0,0,0,-0,88.866644,88.866644,50,16.898862,21.967782,0,0,0,88.866644,1299.9535,12413.642,0.46176359,0.58676359,0.46176359,0,400,1,1,0,5000,11049.628,20799.3,16000,5000,5000,5000,5000,5000
1.7,0,0,0,-0,88.866435,88.866435,50,16.898791,21.967643,0,0,0,88.866435,1299.9508,12413.616,0.46176112,0.58676112,0.46176112,0,400,1,1,0,5000,11049.605,20799.256,16000,5000,5000,5000,5000,5000
1.8,0,0,0,-0,88.866225,88.866225,50,16.89872,21.967505,0,0,0,88.866225,1299.948,12413.589,0.46175865,0.58675865,0.46175865,0,400,1,1,0,5000,11049.582,20799.212,16000,5000,5000,5000,5000,5000
1.9,0,0,0,-0,88.866015,88.866015,50,16.898649,21.967366,0,0,0,88.866015,1299.9453,12413.563,0.46175618,0.58675618,0.46175618,0,400,1,1,0,5000,11049.558,20799.169,16000,5000,5000,5000,5000,5000
2,0,0,0,-0,88.865805,88.865805,50,16.898578,21.967227,0,0,0,88.865805,1299.9426,12413.537,0.46175372,0.58675372,0.46175372,0,400,1,1,0,5000,11049.535,20799.125,16000,5000,5000,5000,5000,5000
2.1,0,0,0,-0,88.865596,88.865596,50,16.898507,21.967089,0,0,0,88.865596,1299.9398,12413.511,0.46175125,0.58675125,0.46175125,0,400,1,1,0,5000,11049.512,20799.081,16000,5000,5000,5000,5000,5000
2.2,0,0,0,-0,88.865386,88.865386,50,16.898436,21.96695,0,0,0,88.865386,1299.9371,12413.485,0.46174878,0.58674878,0.46174878,0,400,1,1,0,5000,11049.489,20799.037,16000,5000,5000,5000,5000,5000
