metric,value
wind_mean_mps,7.6948391
wind_std_mps,0.21512931
air_density_min_kg_m3,1.1935325
air_density_max_kg_m3,1.1936761
omega_mean_rad_s,34.704336
lambda_opt_mean,6.3166333
k_opt_min,0.014616581
k_opt_max,0.01461834
cp_mean,0.43696241
cp_opt_mean,0.43820752
pitch_max_deg,0
p_mpp_max_w,846.95617
p_aero_max_w,792.9265
p_rect_max_w,700.88339
p_out_max_w,629.64365
p_out_mean_w,503.74697
dc_bus_min_v,370
dc_bus_max_v,370
aero_tracking_ratio,0.93732435
generator_capture_ratio,0.88103435
boost_efficiency_ratio,0.89572184
weather_points,1
rolling_prediction,1
visual_start_offset,0
stopped,0
completed_steps,180000
total_steps,180000
