metric,value
wind_mean_mps,4.655473
wind_std_mps,0.12977754
air_density_min_kg_m3,1.1917892
air_density_max_kg_m3,1.1930096
omega_mean_rad_s,20.798116
lambda_opt_mean,6.3166333
k_opt_min,0.014595232
k_opt_max,0.014610178
cp_mean,0.43626763
cp_opt_mean,0.43820752
pitch_max_deg,0
p_mpp_max_w,187.52075
p_aero_max_w,175.20448
p_rect_max_w,148.04357
p_out_max_w,120.97946
p_out_mean_w,97.440904
dc_bus_min_v,370
dc_bus_max_v,370
aero_tracking_ratio,0.93582772
generator_capture_ratio,0.84382431
boost_efficiency_ratio,0.81901251
weather_points,1
rolling_prediction,1
visual_start_offset,0
stopped,0
completed_steps,180000
total_steps,180000
